,artist id,artist popularity,genres,name,uri,url
84,4V8Sr092TqfHkfAA5fXXqG,82,"['dance pop', 'latin', 'latin pop', 'pop', 'puerto rican pop', 'tropical']",Luis Fonsi,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,https://open.spotify.com/artist/4V8Sr092TqfHkfAA5fXXqG
85,2w9zwq3AktTeYYMuhMjju8,67,"['dance pop', 'romanian pop']",INNA,spotify:artist:2w9zwq3AktTeYYMuhMjju8,https://open.spotify.com/artist/2w9zwq3AktTeYYMuhMjju8
87,7EQ0qTo7fWT7DPxmxtSYEc,83,"['metropopolis', 'modern rock', 'pop']",Bastille,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc
89,4D75GcNG95ebPtNvoNVXhz,76,"['big room', 'dance pop', 'deep big room', 'disco house', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']",Afrojack,spotify:artist:4D75GcNG95ebPtNvoNVXhz,https://open.spotify.com/artist/4D75GcNG95ebPtNvoNVXhz
91,5vBSrE1xujD2FXYRarbAXc,74,"['dance pop', 'gauze pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Years & Years,spotify:artist:5vBSrE1xujD2FXYRarbAXc,https://open.spotify.com/artist/5vBSrE1xujD2FXYRarbAXc
96,6BrvowZBreEkXzJQMpL174,76,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']",Hardwell,spotify:artist:6BrvowZBreEkXzJQMpL174,https://open.spotify.com/artist/6BrvowZBreEkXzJQMpL174
97,6dC0rIJNLSFZwqckLgXJ8p,65,"['dance pop', 'indie pop rap', 'indie poptimism', 'pop', 'pop rap', 'post-teen pop', 'tropical house']",Timeflies,spotify:artist:6dC0rIJNLSFZwqckLgXJ8p,https://open.spotify.com/artist/6dC0rIJNLSFZwqckLgXJ8p
102,5ndkK3dpZLKtBklKjxNQwT,76,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,https://open.spotify.com/artist/5ndkK3dpZLKtBklKjxNQwT
104,2urF8dgLVfDjunO0pcHUEe,72,['latin pop'],Alvaro Soler,spotify:artist:2urF8dgLVfDjunO0pcHUEe,https://open.spotify.com/artist/2urF8dgLVfDjunO0pcHUEe
105,7vk5e3vY1uw9plTHJAMwjN,86,['electro house'],Alan Walker,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
107,4EzkuveR9pLvDVFNx6foYD,79,"['neo mellow', 'pop', 'pop rock']",James Bay,spotify:artist:4EzkuveR9pLvDVFNx6foYD,https://open.spotify.com/artist/4EzkuveR9pLvDVFNx6foYD
110,5pUo3fmmHT8bhCyHE52hA6,77,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house']",Liam Payne,spotify:artist:5pUo3fmmHT8bhCyHE52hA6,https://open.spotify.com/artist/5pUo3fmmHT8bhCyHE52hA6
112,15UsOTVnJzReFVN1VCnxy4,92,"['emo rap', 'miami hip hop']",XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4
115,5y2Xq6xcjJb2jVM54GHK3t,82,"['neo mellow', 'neo soul', 'pop', 'r&b', 'urban contemporary']",John Legend,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t
120,1uNFoZAHBGtllmzznpCI3s,93,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
124,6T5tfhQCknKG4UnH90qGnz,73,"['dance pop', 'pop', 'post-teen pop']",DNCE,spotify:artist:6T5tfhQCknKG4UnH90qGnz,https://open.spotify.com/artist/6T5tfhQCknKG4UnH90qGnz
126,02kJSzxNuaWGqwubyUba0Z,86,"['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']",G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,https://open.spotify.com/artist/02kJSzxNuaWGqwubyUba0Z
128,1Xylc3o4UrD53lo9CvFvVg,82,"['dance pop', 'edm', 'pop', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",Zara Larsson,spotify:artist:1Xylc3o4UrD53lo9CvFvVg,https://open.spotify.com/artist/1Xylc3o4UrD53lo9CvFvVg
129,540vIaP2JwjQb9dm3aArA4,86,['electronic trap'],DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4,https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4
130,26VFTg2z8YR0cCuwLzESi2,91,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2
