,acousticness,danceability,duration_ms,energy,explict,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,uri,url,valence,Hit
137,0.455,0.56,212424,0.5920000000000001,False,2mCF8L0brIs88eH6Kf2h9p,0.0,0.297,-6.9510000000000005,Fast Car,70,0.0544,112.684,spotify:track:2mCF8L0brIs88eH6Kf2h9p,https://open.spotify.com/track/2mCF8L0brIs88eH6Kf2h9p,0.564,n
138,0.0225,0.755,215760,0.74,False,14fmbvjYLqRZEXz1VZdM2M,0.00139,0.124,-4.9510000000000005,We Found Love,13,0.0407,127.98,spotify:track:14fmbvjYLqRZEXz1VZdM2M,https://open.spotify.com/track/14fmbvjYLqRZEXz1VZdM2M,0.609,y
139,0.0299,0.667,212493,0.7709999999999999,False,5I9Py57H8vqanuNhUVcLHN,1.16e-06,0.0998,-4.269,Applause,3,0.052000000000000005,139.951,spotify:track:5I9Py57H8vqanuNhUVcLHN,https://open.spotify.com/track/5I9Py57H8vqanuNhUVcLHN,0.688,y
140,0.106,0.616,190185,0.43200000000000005,False,2dLLR6qlu5UJ5gk0dKz0h3,0.0,0.132,-9.546,Royals,79,0.133,84.77799999999999,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,0.302,y
141,0.00141,0.6729999999999999,247906,0.629,False,1jF7IL57ayN4Ity3jQqGu0,0.0,0.0944,-7.072,Try,74,0.0299,103.99799999999999,spotify:track:1jF7IL57ayN4Ity3jQqGu0,https://open.spotify.com/track/1jF7IL57ayN4Ity3jQqGu0,0.551,y
142,0.0151,0.637,220733,0.843,False,24lMtPOCzP5g4hrg3NklLa,0.0,0.0876,-5.412999999999999,Just The Way You Are,23,0.0432,109.012,spotify:track:24lMtPOCzP5g4hrg3NklLa,https://open.spotify.com/track/24lMtPOCzP5g4hrg3NklLa,0.434,n
143,0.105,0.9109999999999999,199938,0.7090000000000001,True,3oqCnpAoHf3SDFynxx7AU4,0.0,0.0491,-4.138999999999999,Fancy,3,0.0673,94.979,spotify:track:3oqCnpAoHf3SDFynxx7AU4,https://open.spotify.com/track/3oqCnpAoHf3SDFynxx7AU4,0.365,y
144,0.00117,0.5529999999999999,225200,0.674,False,1mwt9hzaH7idmC5UCoOUkz,0.0,0.16,-6.057,Diamonds,14,0.045,91.958,spotify:track:1mwt9hzaH7idmC5UCoOUkz,https://open.spotify.com/track/1mwt9hzaH7idmC5UCoOUkz,0.369,y
145,0.0009720000000000001,0.7070000000000001,206413,0.924,False,1gihuPhrLraKYrJMAEONyc,0.00703,0.204,-2.842,Feel So Close - Radio Edit,75,0.031,127.93700000000001,spotify:track:1gihuPhrLraKYrJMAEONyc,https://open.spotify.com/track/1gihuPhrLraKYrJMAEONyc,0.919,n
146,0.000145,0.597,255586,0.919,True,4k80K0b6KZ2QjAYkXON7q6,0.0,0.282,-2.9539999999999997,Blow Me (One Last Kiss),67,0.044000000000000004,113.98700000000001,spotify:track:4k80K0b6KZ2QjAYkXON7q6,https://open.spotify.com/track/4k80K0b6KZ2QjAYkXON7q6,0.73,y
147,0.00201,0.7190000000000001,242680,0.847,False,1tjY4H0X706ZH03SXa1DFh,0.0204,0.223,-6.34,Where Have You Been,15,0.0916,127.963,spotify:track:1tjY4H0X706ZH03SXa1DFh,https://open.spotify.com/track/1tjY4H0X706ZH03SXa1DFh,0.444,y
148,0.004529999999999999,0.862,263053,0.503,False,0XzkemXSiXJa7VgDFPfU4S,1.87e-05,0.0761,-7.702999999999999,Blurred Lines,17,0.0494,119.99799999999999,spotify:track:0XzkemXSiXJa7VgDFPfU4S,https://open.spotify.com/track/0XzkemXSiXJa7VgDFPfU4S,0.863,y
149,0.0492,0.784,250188,0.85,True,5U8hKxSaDXB8cVeLFQjvwx,0.0,0.11199999999999999,-3.679,The Monster,16,0.0691,110.00399999999999,spotify:track:5U8hKxSaDXB8cVeLFQjvwx,https://open.spotify.com/track/5U8hKxSaDXB8cVeLFQjvwx,0.5670000000000001,y
150,0.23,0.6509999999999999,205346,0.695,False,3gCDFNnyBoPP5rkBAn8EAR,0.0,0.14400000000000002,-3.218,Give Your Heart a Break,57,0.0487,123.008,spotify:track:3gCDFNnyBoPP5rkBAn8EAR,https://open.spotify.com/track/3gCDFNnyBoPP5rkBAn8EAR,0.569,y
151,0.41,0.695,234506,0.8690000000000001,False,05SBRd4fXgn8FX7bf8BCAE,0.0,0.237,-5.066,I Need Your Love (feat. Ellie Goulding),70,0.0483,124.98899999999999,spotify:track:05SBRd4fXgn8FX7bf8BCAE,https://open.spotify.com/track/05SBRd4fXgn8FX7bf8BCAE,0.58,n
152,0.0589,0.79,284413,0.616,True,7n6ibfsRHhCb1Ccl9Fg2CZ,6.55e-05,0.171,-7.443,Scream & Shout,13,0.0596,130.009,spotify:track:7n6ibfsRHhCb1Ccl9Fg2CZ,https://open.spotify.com/track/7n6ibfsRHhCb1Ccl9Fg2CZ,0.473,y
153,0.20199999999999999,0.327,175200,0.71,False,2Oehrcv4Kov0SuIgWyQY9e,9e-05,0.28,-2.928,Demons,22,0.0547,179.56099999999998,spotify:track:2Oehrcv4Kov0SuIgWyQY9e,https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e,0.41600000000000004,y
154,0.000315,0.7040000000000001,216200,0.81,False,6KBYk8OFtod7brGuZ3Y67q,0.0,0.21600000000000003,-4.874,Misery,62,0.0425,102.98,spotify:track:6KBYk8OFtod7brGuZ3Y67q,https://open.spotify.com/track/6KBYk8OFtod7brGuZ3Y67q,0.726,y
155,0.0476,0.8109999999999999,188754,0.879,True,0ifSeVGUr7py5GggttDhXw,1.91e-06,0.109,-3.7239999999999998,All About That Bass,66,0.0514,134.064,spotify:track:0ifSeVGUr7py5GggttDhXw,https://open.spotify.com/track/0ifSeVGUr7py5GggttDhXw,0.9620000000000001,y
156,0.0226,0.66,193986,0.7979999999999999,False,3cySlItpiPiIAzU3NyHCJf,2.2e-05,0.10300000000000001,-5.3260000000000005,Problem,7,0.162,103.022,spotify:track:3cySlItpiPiIAzU3NyHCJf,https://open.spotify.com/track/3cySlItpiPiIAzU3NyHCJf,0.627,y
157,0.0653,0.42100000000000004,202533,0.873,False,7wMq5n8mYSKlQIGECKUgTX,0.0,0.12300000000000001,-4.343,Hall of Fame,79,0.0565,84.803,spotify:track:7wMq5n8mYSKlQIGECKUgTX,https://open.spotify.com/track/7wMq5n8mYSKlQIGECKUgTX,0.63,y
158,0.135,0.747,210626,0.716,True,2EBCVPNAG46nbgs6jXPGvv,0.0,0.251,-2.457,Starships,71,0.075,125.008,spotify:track:2EBCVPNAG46nbgs6jXPGvv,https://open.spotify.com/track/2EBCVPNAG46nbgs6jXPGvv,0.7509999999999999,y
159,0.0426,0.794,248413,0.8109999999999999,False,2Foc5Q5nqNiosCNqttzHof,1.07e-06,0.10099999999999999,-8.966000000000001,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,0.038,116.04700000000001,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof,0.862,n
